100
60 120
46 21 48
41 14 32
33 57 9
37 30 32
16 45 53
39 55 11
57 20 11
38 43 32
56 39 11
58 60 32
20 23 32
7 32 32
11 53 32
50 60 32
27 4 32
47 25 32
46 14 48
36 20 32
6 38 55
11 8 9
43 57 32
51 17 32
44 3 9
43 60 32
34 53 53
33 31 32
19 18 32
39 23 32
12 35 11
25 14 32
39 13 11
5 32 32
29 40 40
60 32 32
21 47 53
19 18 32
58 20 32
27 12 32
60 38 9
36 19 48
19 46 48
15 36 48
41 16 32
47 40 53
12 18 11
47 46 48
26 25 32
30 26 32
35 5 32
17 38 32
57 35 35
8 50 32
55 58 32
28 33 32
41 16 32
53 27 48
33 39 9
25 2 9
25 11 9
4 31 32
34 52 48
22 60 9
58 5 32
27 9 32
46 54 32
9 57 9
40 51 48
24 8 32
2 19 32
41 11 11
40 54 32
43 1 53
45 44 32
48 50 48
7 48 32
20 35 11
38 13 55
20 7 11
20 13 11
9 50 32
19 34 48
58 46 32
29 47 53
44 59 9
51 25 32
45 56 32
38 39 11
24 32 32
44 28 32
51 60 32
15 30 32
57 13 55
44 26 32
47 4 32
8 37
5 3 4
1 7 4
1 2 2
7 3 4
2 5 2
7 1 4
6 1 2
7 8 4
6 4 2
2 6 2
7 1 4
1 6 2
8 5 4
3 5 4
8 3 3
6 4 2
4 8 4
6 3 8
4 2 2
6 3 2
4 2 2
6 8 2
7 4 4
5 8 4
1 5 4
4 6 2
8 3 3
3 2 7
8 2 2
6 5 2
3 8 3
4 1 4
3 4 4
6 3 2
7 3 4
5 6 2
7 1 4
12 9
1 5 7
11 2 6
9 4 12
8 12 6
10 1 7
4 3 12
3 10 6
8 11 8
2 5 10
47 72
32 16 2
28 39 2
2 45 2
42 5 26
13 42 26
6 31 26
11 42 26
8 3 17
47 20 26
16 11 26
15 39 8
41 23 26
25 32 26
12 20 34
3 23 26
17 2 26
47 10 26
4 22 26
18 35 26
34 16 2
7 25 26
45 43 2
47 25 42
1 21 26
13 27 13
36 19 6
29 31 26
32 11 26
23 12 26
29 41 2
6 30 40
39 29 8
15 5 26
28 32 2
26 43 26
37 11 26
25 12 26
16 1 35
38 9 43
38 40 2
36 22 2
38 35 26
24 37 26
7 17 15
25 23 33
16 25 28
29 3 2
32 21 26
16 45 2
2 37 2
31 3 11
3 6 2
45 13 26
33 15 34
34 35 26
16 47 26
4 28 26
44 41 2
26 14 26
35 41 26
6 28 2
35 28 26
14 39 2
44 21 21
9 15 34
44 12 26
19 46 2
43 11 26
3 21 45
38 42 34
16 45 2
2 26 26
41 112
19 38 15
13 27 15
14 22 15
5 34 33
7 39 15
19 6 27
13 36 15
34 9 15
41 31 15
27 34 15
21 35 4
26 31 31
6 28 15
37 17 27
24 27 15
41 6 15
11 35 10
1 20 15
31 26 31
25 30 15
33 3 15
25 17 15
23 21 15
22 18 15
7 37 4
28 14 15
35 27 15
16 38 15
24 34 15
27 26 15
26 17 15
15 24 15
22 35 15
26 5 15
15 1 15
13 25 33
28 33 33
21 11 15
29 36 4
18 20 27
41 21 15
32 8 8
10 5 8
21 11 15
39 29 15
24 12 15
18 29 27
28 5 8
2 36 15
18 33 15
4 32 15
26 34 15
35 7 15
25 26 15
7 33 15
31 34 15
30 19 30
9 7 4
18 39 15
3 1 15
11 12 33
35 17 15
8 3 15
27 34 15
9 12 15
2 20 15
6 16 27
17 26 15
8 13 8
21 11 15
1 17 15
13 21 15
26 17 15
36 33 15
32 28 32
29 14 30
18 38 15
9 32 15
32 37 15
4 40 4
30 2 15
13 39 8
2 8 15
4 3 4
26 24 15
37 20 30
30 27 27
15 26 15
14 21 3
11 16 15
35 24 15
8 18 15
19 35 15
39 17 15
7 39 15
6 30 27
2 20 15
6 32 15
19 22 15
23 14 15
16 37 30
1 11 33
8 22 15
18 36 4
18 21 4
1 41 33
25 23 33
21 19 4
11 31 15
17 7 4
16 9 33
5 11 8
7 81
2 5 2
4 3 2
4 3 2
4 3 2
6 7 7
1 4 2
1 5 2
6 1 2
1 6 2
2 5 2
7 3 2
7 4 7
7 6 7
1 2 2
7 3 2
1 6 2
3 2 2
3 4 2
2 5 2
6 1 2
4 3 2
7 4 7
5 1 2
7 2 2
5 2 2
4 2 2
4 7 7
5 3 2
3 7 2
4 3 2
4 7 7
6 3 2
5 7 7
1 7 2
2 3 2
2 3 2
2 5 2
3 7 2
5 3 2
6 1 2
5 1 2
6 4 6
2 6 2
2 3 2
6 7 7
2 4 2
2 1 2
6 1 2
5 2 2
2 6 2
2 3 2
6 3 2
7 6 7
3 6 2
6 3 2
3 5 2
4 2 2
7 2 2
5 4 7
5 3 2
6 4 6
1 6 2
3 2 2
7 5 7
4 1 2
7 4 7
4 6 6
2 3 2
4 5 7
7 6 7
6 3 2
1 2 2
3 1 2
6 3 2
1 7 2
2 7 2
5 7 7
5 6 7
1 7 2
5 1 2
5 6 7
60 120
14 1 13
50 14 23
1 34 57
31 21 57
34 52 57
51 42 22
60 21 22
21 45 13
52 20 13
34 46 57
3 33 13
41 58 13
26 39 13
16 32 13
36 48 13
19 9 22
47 44 22
57 8 13
40 23 13
16 30 22
38 49 13
28 22 22
51 16 22
40 41 22
24 42 57
9 59 13
19 42 57
44 8 13
29 59 13
21 48 22
55 16 22
51 19 22
34 5 13
41 36 13
33 60 13
21 33 13
39 20 13
32 33 23
3 41 6
42 21 42
18 45 13
17 55 13
9 48 9
14 22 13
33 56 13
1 47 6
48 33 13
32 9 13
50 22 13
17 53 13
54 44 22
16 41 22
52 44 22
60 52 22
56 50 13
33 21 13
47 7 22
37 9 9
39 24 22
3 56 22
28 43 28
53 27 13
23 2 23
23 39 13
15 13 13
59 16 13
40 44 16
9 18 22
10 27 13
46 51 22
40 59 13
10 27 13
3 7 22
11 50 13
14 40 13
14 21 13
13 15 13
15 25 13
44 46 22
34 5 13
42 27 13
38 47 22
20 55 13
14 15 59
2 59 23
52 35 22
54 43 6
32 13 13
30 49 13
35 52 22
55 2 13
49 26 36
44 4 13
25 22 22
55 36 13
46 3 6
52 26 13
42 11 22
55 12 22
4 1 13
32 30 13
3 46 6
59 56 13
42 59 13
51 29 22
15 1 13
52 33 13
46 7 22
10 8 13
24 44 22
53 13 13
35 22 22
45 43 13
18 3 6
33 23 23
3 58 13
46 7 22
58 42 13
54 31 6
1 34 57
6 3
2 4 3
6 5 4
1 2 6
3 1
1 2 3
12 86
3 10 9
6 10 1
9 1 9
11 1 9
9 4 9
2 3 9
4 1 1
2 5 5
3 2 9
3 9 9
12 10 12
11 8 9
9 1 9
3 9 9
10 4 1
4 12 12
8 10 9
8 4 9
10 12 12
12 7 9
5 4 5
2 10 1
7 4 9
1 5 1
3 5 7
10 8 9
5 4 5
9 12 9
5 2 5
9 10 9
7 9 9
3 12 9
2 3 9
4 11 9
12 3 3
7 3 9
1 3 9
11 9 9
6 1 1
3 1 9
10 2 1
9 1 9
4 11 9
5 1 1
6 8 9
11 4 9
7 5 9
4 11 9
3 7 9
1 11 9
3 7 9
1 3 9
7 1 9
12 11 9
5 6 1
3 10 9
1 5 1
4 12 12
4 10 1
4 12 12
11 2 9
3 11 9
3 11 9
8 6 9
8 2 9
8 11 9
4 3 9
9 1 9
6 11 9
8 3 3
1 10 1
7 4 9
5 6 1
7 5 9
5 7 9
4 12 12
2 11 9
3 6 9
7 8 9
5 2 5
5 6 1
5 8 9
7 9 9
10 9 9
6 5 1
5 7 9
28 115
27 19 18
14 11 18
18 23 28
16 2 28
23 5 28
9 11 28
6 3 18
25 17 28
22 26 28
7 17 7
23 6 28
17 11 28
7 22 28
18 21 28
13 25 28
19 18 18
7 6 28
21 1 28
6 24 28
3 13 28
10 23 23
15 28 28
14 7 28
28 22 28
18 13 28
13 3 28
13 17 13
18 11 18
11 22 22
8 16 28
11 7 28
15 1 23
15 22 28
22 28 28
7 23 28
23 1 23
15 25 28
9 12 28
15 17 28
8 26 28
26 21 28
5 27 18
13 11 28
10 22 28
6 13 28
19 17 28
24 18 28
19 22 22
15 18 28
2 12 18
12 4 18
23 13 28
24 12 28
23 26 23
16 11 28
25 7 28
5 15 28
14 1 28
6 2 18
23 18 28
6 20 28
15 17 28
12 3 3
23 13 28
2 24 28
22 18 18
4 16 28
1 20 1
24 8 28
14 25 18
17 16 16
10 11 28
22 1 28
12 27 18
5 26 28
1 10 23
10 2 28
7 15 28
11 4 18
28 14 28
3 8 28
26 19 28
6 8 28
14 16 28
12 9 28
3 22 18
11 17 28
18 9 28
15 23 23
25 26 28
5 14 18
5 28 28
23 16 28
10 27 28
7 17 7
11 18 18
13 17 13
8 13 28
24 8 28
26 27 28
21 5 28
11 13 28
21 10 28
16 13 16
1 25 28
12 20 28
14 2 18
12 27 18
4 15 28
3 17 28
16 2 28
17 3 28
4 9 28
5 6 18
23 17 28
45 97
20 5 44
7 4 44
1 34 25
7 18 5
45 34 8
17 44 44
22 29 22
39 12 12
41 9 21
6 16 44
19 40 8
22 41 5
33 30 44
14 42 21
27 38 5
16 20 44
10 24 25
36 17 44
31 1 44
35 12 8
1 5 5
28 29 5
40 36 44
20 36 37
15 6 44
5 40 8
14 15 21
42 26 44
31 22 44
34 11 25
24 43 44
22 18 5
14 24 21
31 10 44
38 3 25
45 12 45
22 18 5
35 42 25
7 25 5
38 19 18
31 39 44
1 30 5
32 5 5
37 27 44
19 27 5
41 42 7
17 24 25
15 34 18
2 16 44
39 7 44
5 7 5
42 7 5
19 36 44
27 38 5
38 16 38
3 42 1
2 36 44
41 1 21
4 15 44
4 15 44
19 11 25
27 41 5
29 37 44
7 12 8
1 10 25
17 35 18
40 3 8
8 38 8
35 41 21
22 41 5
32 31 44
3 19 25
45 39 44
21 36 44
10 4 44
43 20 37
12 11 8
44 20 44
20 42 44
5 26 44
35 42 25
19 4 36
22 7 22
37 42 44
20 18 44
17 33 44
20 16 44
7 15 5
5 1 42
33 6 36
40 1 8
14 17 21
45 26 44
8 17 8
25 38 25
39 2 39
1 24 25
53 12
51 33 49
25 30 4
7 19 50
14 26 53
32 48 50
50 18 50
49 47 50
27 31 50
23 49 50
37 15 50
29 11 47
36 33 50
36 53
26 30 1
31 14 11
7 17 32
14 15 1
1 15 1
33 23 32
7 9 32
33 15 1
26 13 26
23 35 32
2 1 1
5 30 5
11 7 32
12 25 1
10 14 1
36 6 32
31 27 1
32 1 32
6 21 32
29 28 32
32 13 32
8 29 32
9 25 32
6 30 32
13 4 25
27 7 32
32 17 32
36 17 36
23 25 32
14 4 1
2 6 32
1 26 1
8 11 5
24 4 32
35 27 20
15 9 32
5 36 5
20 34 32
9 30 32
18 33 20
3 7 32
29 35 32
22 25 32
19 3 1
21 17 32
15 35 1
13 7 32
34 32 32
36 5 5
36 19 10
21 27 32
7 16 32
17 22 32
3 3
1 2 2
2 3 3
3 1 1
50 107
27 31 10
19 39 1
20 31 49
15 9 10
36 19 19
36 20 10
1 13 10
46 29 10
25 14 10
10 8 10
32 24 49
15 5 10
47 31 49
5 36 19
7 26 10
41 35 19
8 49 10
15 17 10
26 37 10
6 8 10
13 1 10
42 33 1
22 38 10
28 50 1
33 25 10
44 20 10
44 47 10
7 31 10
1 4 10
29 25 47
14 36 10
3 43 1
4 2 10
31 29 49
37 24 47
9 42 1
30 47 10
15 34 10
9 33 1
38 42 1
29 9 10
11 10 10
6 12 4
19 38 1
3 22 10
36 13 10
35 11 1
44 50 11
32 10 10
24 11 10
17 28 17
49 9 10
9 5 1
46 13 10
40 15 10
39 47 10
15 2 10
38 27 1
31 9 10
29 32 49
8 37 10
11 6 10
10 23 10
7 47 10
40 26 1
14 18 10
13 28 10
49 1 10
30 48 10
20 17 10
5 34 19
49 41 10
37 13 10
30 35 19
49 32 49
8 35 10
8 7 10
16 33 10
31 22 49
47 43 10
40 48 10
4 42 10
32 30 10
9 20 10
25 23 10
28 10 10
32 42 10
3 24 10
25 50 10
27 40 1
23 47 10
27 38 1
48 10 10
42 5 19
35 44 1
36 2 19
26 48 10
31 49 49
22 12 22
34 29 10
28 15 10
5 24 10
50 6 10
30 15 10
35 4 10
34 26 1
8 18 10
31 32
2 1 9
10 19 9
20 7 5
18 8 19
12 25 9
2 25 20
30 2 2
28 16 5
13 19 19
21 4 5
7 9 9
20 9 9
21 27 9
21 7 5
30 6 9
5 1 9
6 2 9
17 27 9
2 6 9
1 3 3
9 24 9
17 10 5
7 12 9
1 26 9
24 11 5
9 7 9
29 5 5
20 15 20
8 1 19
7 4 5
14 26 9
31 3 9
54 12
21 43 47
47 25 47
25 6 47
11 2 14
35 48 47
49 11 47
32 34 47
35 9 47
43 13 14
52 12 47
26 2 47
8 51 47
30 46
15 29 3
13 4 4
9 14 3
14 10 3
30 29 3
26 4 4
2 12 3
3 25 3
15 16 3
29 25 3
5 9 3
30 6 30
10 21 16
27 4 4
30 17 17
26 4 4
3 17 3
27 25 17
10 1 17
26 14 4
20 17 16
3 19 3
12 13 24
23 22 22
19 1 3
9 5 3
21 24 3
7 14 3
11 1 4
23 8 4
3 26 4
30 8 4
29 3 3
20 30 16
10 11 4
10 22 10
1 27 17
10 27 17
27 24 3
20 8 4
8 22 4
8 29 4
3 2 3
25 26 4
14 20 3
27 1 17
25 50
12 17 17
9 11 19
22 11 19
5 23 19
11 14 10
22 21 19
7 9 19
11 7 10
5 7 10
19 4 19
12 23 19
11 19 19
16 12 19
24 10 24
22 11 19
4 19 19
24 14 24
23 7 19
15 7 19
2 18 19
15 22 19
22 8 8
21 17 19
21 9 19
22 8 8
4 2 19
22 12 22
14 22 19
15 23 13
25 1 24
1 2 19
22 4 8
8 22 8
25 20 24
17 6 19
1 20 24
21 25 19
8 12 8
4 19 19
2 3 19
13 9 19
7 4 19
2 15 19
4 17 8
23 13 13
15 17 19
11 8 19
17 23 19
6 23 19
16 20 24
11 99
7 1 10
4 9 9
1 6 6
9 4 9
3 11 7
4 2 10
5 4 10
11 10 10
10 2 10
3 1 10
1 4 10
7 11 7
8 6 10
7 9 7
6 3 10
6 7 10
4 1 10
4 3 7
3 4 7
11 4 4
1 11 10
6 4 10
10 2 10
5 10 10
11 8 7
3 4 7
10 4 10
1 11 10
6 7 10
9 4 9
7 3 7
7 8 7
5 11 10
7 11 7
5 10 10
11 4 4
5 2 5
11 4 4
11 7 7
8 11 7
1 3 10
7 10 10
5 10 10
1 10 10
3 1 10
6 1 6
8 5 10
11 10 10
3 1 10
4 10 10
3 5 10
3 7 7
8 10 10
6 3 10
1 4 10
6 1 6
10 11 10
9 2 10
4 5 10
7 10 10
3 4 7
4 7 7
6 1 6
10 8 10
3 7 7
6 3 10
7 5 10
4 9 9
5 3 10
3 7 7
2 1 1
4 9 9
7 9 7
11 4 4
4 5 10
5 3 10
6 11 10
1 5 5
5 7 10
5 1 5
9 4 9
9 7 7
1 7 10
3 8 7
2 4 10
1 2 1
11 2 10
9 6 10
9 11 9
3 11 7
11 10 10
3 4 7
3 6 10
6 9 10
10 9 10
7 1 10
5 7 10
4 2 10
11 3 7
52 43
28 40 40
46 50 40
6 19 31
2 36 2
25 20 31
23 1 40
38 27 40
41 14 40
6 43 40
8 26 40
5 40 40
18 4 18
9 26 9
41 24 40
26 38 40
51 40 40
2 19 2
30 11 31
15 39 40
19 3 40
50 17 40
17 4 40
25 45 40
26 23 40
35 18 18
32 52 40
42 21 31
41 34 52
28 10 52
30 48 31
1 15 9
3 20 40
30 2 2
9 41 40
17 13 52
6 30 31
34 1 40
8 14 40
39 30 40
6 23 40
8 18 40
12 1 40
43 7 7
27 79
17 27 26
24 12 27
11 27 27
14 12 26
24 25 26
24 21 10
20 18 27
22 21 26
27 10 26
9 8 27
24 5 26
17 24 26
12 4 26
26 18 26
21 3 26
16 13 13
9 19 27
27 16 27
17 1 26
12 13 7
15 10 26
9 12 27
1 14 26
27 10 26
24 25 26
7 19 8
15 2 27
9 8 27
9 5 26
17 3 17
26 7 1
26 23 26
14 9 26
7 14 26
19 25 26
18 7 27
26 6 26
27 15 27
22 23 26
26 21 11
6 17 26
6 7 6
15 14 26
23 25 26
2 1 27
27 24 27
5 8 26
16 15 27
18 13 27
14 23 26
10 3 17
23 16 13
19 27 27
24 11 27
11 1 27
20 15 27
9 12 27
7 9 27
23 15 27
19 15 27
24 8 27
22 27 26
27 13 27
3 11 26
20 2 27
21 24 27
24 17 26
21 5 26
14 12 26
25 10 17
16 19 27
3 10 17
3 20 26
12 13 7
8 9 27
12 22 26
25 20 26
13 2 10
8 15 27
14 32
13 8 4
2 14 4
9 8 9
1 9 9
7 14 7
6 3 4
10 11 4
5 3 4
3 11 4
2 9 4
7 1 7
8 3 8
8 13 4
10 8 4
12 9 4
11 5 4
4 14 7
8 11 4
11 14 13
14 8 8
1 7 7
13 8 4
5 3 4
3 6 4
11 12 4
4 11 4
3 6 4
8 9 9
9 5 4
8 11 9
10 4 4
13 8 4
56 74
5 11 17
30 3 3
20 4 27
6 56 24
37 56 24
12 19 48
16 26 15
52 39 52
25 17 52
36 38 24
36 13 24
44 24 17
41 22 48
33 26 37
19 53 48
47 2 48
46 15 53
25 14 28
43 13 52
30 32 37
32 37 37
10 55 52
24 31 24
13 4 48
24 46 4
31 23 52
47 50 6
49 42 48
12 39 48
22 37 48
19 6 48
43 28 48
2 49 52
37 13 48
41 25 48
50 16 24
4 37 48
18 46 48
25 48 48
55 45 48
30 49 48
55 50 36
22 30 48
6 31 39
39 43 17
46 53 53
41 23 48
31 24 24
18 24 24
56 4 24
54 29 54
16 38 24
7 36 24
47 40 48
52 8 52
33 20 27
44 43 52
49 46 48
2 4 48
24 13 24
8 10 52
13 41 48
37 23 48
3 14 48
9 46 48
48 56 24
14 37 48
18 13 18
22 19 52
34 37 48
17 34 48
2 36 24
37 54 48
32 23 48
25 104
1 6 16
13 24 2
3 16 3
3 12 3
6 5 4
12 5 5
22 12 10
7 1 5
18 17 18
21 23 2
20 23 2
25 9 16
17 8 23
12 23 2
20 4 4
6 3 3
7 6 5
2 18 2
5 13 2
21 8 2
23 6 2
25 19 16
16 1 14
7 19 5
2 4 2
25 15 16
7 18 2
12 8 2
23 5 25
7 6 5
5 24 5
20 11 11
10 9 10
25 20 16
5 14 2
1 3 16
9 5 5
12 1 16
15 17 2
11 20 11
12 17 2
13 16 2
5 24 5
15 20 10
11 2 2
21 24 24
24 25 16
9 3 3
17 1 2
15 5 5
6 11 11
5 6 5
6 9 10
14 23 23
12 5 5
15 19 10
1 17 2
10 1 16
4 20 4
25 24 16
11 21 11
16 2 2
3 2 2
9 22 10
20 13 2
25 19 16
11 5 5
10 15 10
25 6 16
15 24 10
15 11 11
10 6 10
18 20 2
19 24 10
25 1 25
16 15 16
10 1 16
3 14 2
20 25 16
3 23 2
5 9 5
16 17 2
7 15 5
14 2 2
21 25 16
20 3 3
19 17 2
10 6 10
19 9 10
16 11 16
2 12 2
5 6 5
2 4 2
6 9 10
18 17 18
21 5 14
7 11 5
1 21 16
19 2 2
13 12 2
9 23 2
5 2 2
19 17 2
11 25 16
60 116
1 3 1
1 4 1
2 3 2
2 4 2
3 5 3
3 6 3
4 5 4
4 6 4
5 7 5
5 8 5
6 7 6
6 8 6
7 9 7
7 10 7
8 9 8
8 10 8
9 11 9
9 12 9
10 11 10
10 12 10
11 13 11
11 14 11
12 13 12
12 14 12
13 15 13
13 16 13
14 15 14
14 16 14
15 17 15
15 18 15
16 17 16
16 18 16
17 19 17
17 20 17
18 19 18
18 20 18
19 21 19
19 22 19
20 21 20
20 22 20
21 23 21
21 24 21
22 23 22
22 24 22
23 25 23
23 26 23
24 25 24
24 26 24
25 27 25
25 28 25
26 27 26
26 28 26
27 29 27
27 30 27
28 29 28
28 30 28
29 31 29
29 32 29
30 31 30
30 32 30
31 33 31
31 34 31
32 33 32
32 34 32
33 35 33
33 36 33
34 35 34
34 36 34
35 37 35
35 38 35
36 37 36
36 38 36
37 39 37
37 40 37
38 39 38
38 40 38
39 41 39
39 42 39
40 41 40
40 42 40
41 43 41
41 44 41
42 43 42
42 44 42
43 45 43
43 46 43
44 45 44
44 46 44
45 47 45
45 48 45
46 47 46
46 48 46
47 49 47
47 50 47
48 49 48
48 50 48
49 51 49
49 52 49
50 51 50
50 52 50
51 53 51
51 54 51
52 53 52
52 54 52
53 55 53
53 56 53
54 55 54
54 56 54
55 57 55
55 58 55
56 57 56
56 58 56
57 58 57
58 59 58
59 60 59
60 57 60
33 45
29 22 18
8 5 20
33 6 18
17 20 17
9 24 18
33 19 18
4 22 22
27 10 18
1 27 18
29 26 18
25 1 18
28 31 22
29 25 18
29 17 18
11 32 11
3 21 18
23 31 23
6 14 18
3 15 18
10 28 18
3 23 23
33 5 18
7 13 18
3 29 18
8 24 18
5 6 17
4 8 18
31 25 18
20 12 18
8 3 13
13 29 18
8 3 18
16 26 18
10 31 18
17 12 18
20 29 18
33 14 16
2 13 18
32 17 18
18 29 5
27 14 18
17 9 18
9 33 18
30 1 19
7 15 15
7 74
7 2 7
2 7 7
5 1 6
2 4 6
1 6 6
4 1 6
5 6 6
7 1 7
7 6 7
7 6 7
4 7 7
6 7 7
2 3 3
2 4 6
7 3 7
7 6 7
4 5 6
2 4 6
5 1 6
3 5 3
2 6 6
2 6 6
4 5 6
2 1 6
1 6 6
3 1 6
7 1 7
2 3 3
7 1 7
6 7 7
6 4 6
4 2 6
6 3 6
7 4 7
5 4 6
4 3 6
4 3 6
1 5 6
3 5 3
3 2 3
4 3 6
1 6 6
5 7 7
1 2 6
7 1 7
3 5 3
6 1 6
2 4 6
4 5 6
1 3 6
2 6 6
4 3 6
6 1 6
2 4 6
6 2 6
6 3 6
4 1 6
4 7 7
5 4 6
6 7 7
6 2 6
5 6 6
6 4 6
4 6 6
6 4 6
1 6 6
7 5 7
1 4 6
1 4 6
1 7 7
4 3 6
5 2 2
4 2 6
6 5 6
8 97
7 8 3
6 1 6
3 4 6
8 3 3
1 6 6
2 8 3
6 5 6
7 3 3
8 7 3
2 3 3
4 8 6
1 7 3
6 2 6
4 7 6
6 8 6
8 6 6
3 1 3
6 3 6
1 5 6
5 3 6
8 5 6
2 6 6
2 5 6
1 7 3
2 6 6
8 7 3
6 4 6
6 7 6
8 6 6
5 1 6
4 1 6
3 1 3
8 1 1
7 2 3
3 1 3
2 1 3
8 4 6
2 8 3
4 6 6
5 7 6
5 7 6
6 5 6
5 7 6
7 3 3
7 1 3
6 8 6
1 2 3
4 5 4
2 1 3
5 7 6
3 7 3
6 3 6
6 3 6
2 5 6
8 4 6
5 6 6
2 3 3
4 1 6
6 8 6
7 8 3
8 5 6
4 1 6
2 6 6
1 8 1
7 5 6
7 1 3
6 8 6
7 1 3
4 1 6
6 7 6
1 4 6
4 1 6
8 6 6
6 2 6
1 6 6
6 3 6
2 4 6
2 3 3
3 6 6
1 5 6
7 5 6
6 7 6
8 5 6
3 8 3
3 7 3
3 6 6
6 8 6
7 6 6
1 6 6
7 8 3
2 3 3
2 8 3
1 2 3
2 1 3
5 4 4
1 5 6
4 6 6
30 94
26 6 6
15 2 15
27 16 28
12 7 7
28 10 28
21 6 28
1 15 28
4 13 28
24 22 28
25 13 28
23 12 28
7 25 28
4 15 28
5 1 10
9 20 20
25 28 28
27 9 28
16 15 28
10 26 10
19 24 28
18 24 28
11 17 28
21 5 28
27 13 28
30 22 22
25 10 6
27 9 28
29 8 28
29 24 28
14 26 28
16 19 28
15 26 28
1 8 28
1 30 28
3 27 28
2 24 28
28 3 28
30 10 28
30 21 21
11 14 28
9 10 6
3 25 28
12 29 7
21 14 28
3 15 28
2 17 28
2 12 28
20 17 28
23 19 6
24 28 28
27 18 28
25 4 6
15 3 28
16 30 28
14 28 28
12 29 7
13 5 28
21 15 28
18 13 28
11 20 6
23 10 6
25 9 6
13 14 8
20 16 28
5 27 28
19 24 28
18 19 6
14 28 28
15 8 28
4 14 28
11 21 28
5 4 6
15 6 28
18 29 28
15 10 28
